"Solution Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int"
"V D36_19-094","Samp","Mn 259.372","",0.25,"ppm",0.25,"ppm",11518
"V D36_19-094","Samp","Mo 204.598","uv",-0.00,"ppm",-0.00,"ppm",71.39
"V D36_19-094","Samp","Na MultiCal","","-","ppm",2.75,"-","-"
"V D36_19-094","Samp","Ni 230.299","uv",-0.01,"ppm",-0.01,"ppm",149.6
"V D36_19-094","Samp","P multical","","-","ppm",0.22,"-","-"
"V D36_19-094","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",365.6
"V D36_19-094","Samp","Zn 206.200","",0.03,"ppm",0.03,"ppm",106.0
"V D36_19-095","Samp","Al 394.401","",1.26,"ppm",1.26,"ppm",17504
"V D36_19-095","Samp","Ca 422.673","",5.39,"ppm",5.39,"ppm",567554
"V D36_19-095","Samp","Cu 324.754","uv",-0.00,"ppm",-0.00,"ppm",849.0
"V D36_19-095","Samp","Fe 238.204","",2.11,"ppm",2.11,"ppm",48888
"V D36_19-095","Samp","K MultiCal","","-","ppm",2.16,"-","-"
"V D36_19-095","Samp","Mg 280.270","",1.95,"ppm",1.95,"ppm",120109
"V D36_19-095","Samp","Mn 259.372","",0.16,"ppm",0.16,"ppm",6971
"V D36_19-095","Samp","Mo 204.598","uv",-0.00,"ppm",-0.00,"ppm",68.29
"V D36_19-095","Samp","Na MultiCal","","-","ppm",3.40,"-","-"
"V D36_19-095","Samp","Ni 230.299","uv",-0.02,"ppm",-0.02,"ppm",124.4
"V D36_19-095","Samp","P multical","","-","ppm",0.12,"-","-"
"V D36_19-095","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",428.1
"V D36_19-095","Samp","Zn 206.200","",0.02,"ppm",0.02,"ppm",74.85
"V D36_19-096","Samp","Al 394.401","",0.53,"ppm",0.53,"ppm",7530
"V D36_19-096","Samp","Ca 422.673","",4.17,"ppm",4.17,"ppm",442481
"V D36_19-096","Samp","Cu 324.754","uv",0.00,"ppm",0.00,"ppm",865.2
"V D36_19-096","Samp","Fe 238.204","",0.58,"ppm",0.58,"ppm",13475
"V D36_19-096","Samp","K MultiCal","","-","ppm",1.14,"-","-"
"V D36_19-096","Samp","Mg 280.270","",0.88,"ppm",0.88,"ppm",53437
"V D36_19-096","Samp","Mn 259.372","",0.05,"ppm",0.05,"ppm",1961
