"Solution Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int"
"LTAR19-019","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",128.3
"LTAR19-019","Samp","Na MultiCal","","-","ppm",0.63,"-","-"
"LTAR19-019","Samp","Ni 230.299","",0.14,"ppm",0.14,"ppm",1891
"LTAR19-019","Samp","P multical","","-","ppm",6.84,"-","-"
"LTAR19-019","Samp","S 181.972","",2.18,"ppm",2.18,"ppm",960.9
"LTAR19-019","Samp","Zn 206.200","",0.45,"ppm",0.45,"ppm",2185
"LTAR19-020","Samp","Mg Multical","","-","ppm",5.11,"-","-"
"LTAR19-020","Samp","Ca Multical","o","-","ppm",6.57,"-","-"
"LTAR19-020","Samp","Al 394.401","",111.2,"ppm",111.2,"ppm",2641171
"LTAR19-020","Samp","Cu 324.754","",0.16,"ppm",0.16,"ppm",10895
"LTAR19-020","Samp","Fe 238.204","x",436.6,"ppm",436.6,"ppm",12754976
"LTAR19-020","Samp","K MultiCal","","-","ppm",6.80,"-","-"
"LTAR19-020","Samp","Mn 259.372","",5.97,"ppm",5.97,"ppm",644716
"LTAR19-020","Samp","Mo 204.598","v",0.01,"ppm",0.01,"ppm",104.2
"LTAR19-020","Samp","Na MultiCal","","-","ppm",0.67,"-","-"
"LTAR19-020","Samp","Ni 230.299","",0.16,"ppm",0.16,"ppm",2085
"LTAR19-020","Samp","P multical","","-","ppm",6.57,"-","-"
"LTAR19-020","Samp","S 181.972","",1.53,"ppm",1.53,"ppm",683.3
"LTAR19-020","Samp","Zn 206.200","",0.44,"ppm",0.44,"ppm",2133
"LTAR19-021","Samp","Mg Multical","","-","ppm",8.63,"-","-"
"LTAR19-021","Samp","Ca Multical","o","-","ppm",6.65,"-","-"
"LTAR19-021","Samp","Al 394.401","",137.9,"ppm",137.9,"ppm",3152314
"LTAR19-021","Samp","Cu 324.754","",0.16,"ppm",0.16,"ppm",11096
"LTAR19-021","Samp","Fe 238.204","",263.0,"ppm",263.0,"ppm",9072871
"LTAR19-021","Samp","K MultiCal","","-","ppm",10.44,"-","-"
"LTAR19-021","Samp","Mn 259.372","",9.68,"ppm",9.68,"ppm",1039683
"LTAR19-021","Samp","Mo 204.598","v",0.01,"ppm",0.01,"ppm",111.7
"LTAR19-021","Samp","Na MultiCal","","-","ppm",0.96,"-","-"
"LTAR19-021","Samp","Ni 230.299","",0.20,"ppm",0.20,"ppm",2593
"LTAR19-021","Samp","P multical","","-","ppm",7.05,"-","-"
"LTAR19-021","Samp","S 181.972","",2.42,"ppm",2.42,"ppm",1063
"LTAR19-021","Samp","Zn 206.200","",0.55,"ppm",0.55,"ppm",2655
"LTAR19-022","Samp","Mg Multical","","-","ppm",8.37,"-","-"
"LTAR19-022","Samp","Ca Multical","o","-","ppm",6.52,"-","-"
"LTAR19-022","Samp","Al 394.401","",151.9,"ppm",151.9,"ppm",3403124
"LTAR19-022","Samp","Cu 324.754","",0.15,"ppm",0.15,"ppm",9949
"LTAR19-022","Samp","Fe 238.204","x",330.8,"ppm",330.8,"ppm",10511692
"LTAR19-022","Samp","K MultiCal","","-","ppm",8.18,"-","-"
"LTAR19-022","Samp","Mn 259.372","",10.80,"ppm",10.80,"ppm",1158142
"LTAR19-022","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",126.7
"LTAR19-022","Samp","Na MultiCal","","-","ppm",0.90,"-","-"
"LTAR19-022","Samp","Ni 230.299","",0.21,"ppm",0.21,"ppm",2781
"LTAR19-022","Samp","P multical","","-","ppm",6.54,"-","-"
"LTAR19-022","Samp","S 181.972","",1.68,"ppm",1.68,"ppm",747.6
"LTAR19-022","Samp","Zn 206.200","",0.54,"ppm",0.54,"ppm",2584
"LTAR19-023","Samp","Mg Multical","","-","ppm",8.45,"-","-"
"LTAR19-023","Samp","Ca Multical","o","-","ppm",21.23,"-","-"
"LTAR19-023","Samp","Al 394.401","",154.7,"ppm",154.7,"ppm",3452081
"LTAR19-023","Samp","Cu 324.754","",0.20,"ppm",0.20,"ppm",13110
"LTAR19-023","Samp","Fe 238.204","x",434.4,"ppm",434.4,"ppm",12708216
"LTAR19-023","Samp","K MultiCal","","-","ppm",12.18,"-","-"
